Product ID,Product Name,Category,Sub-category,Brand,Price,Discount (%),Rating,Number of Reviews,Availability Status,Color Options,Sizes Available,Material,Shipping Time,Country of Origin,Date Added,Total Sales
P00001,Woolen Sweater,Dresses,T-shirts,Van Heusen,9013,20,3.2,221,In Stock,"Pink, Purple","6, 7, 8, 9",Denim,6-7 days,Delhi,2022-12-19,1991873
P00002,Casual Shorts,Footwear,Western Wear,Puma,3138,48,3.5,487,In Stock,"Green, Yellow","6, 7, 8, 9",Silk,10 days,Maharashtra,2020-03-28,1528206
P00003,Sneakers,Footwear,T-shirts,Levis,6707,22,4.4,920,Out of Stock,"Green, Yellow","7, 8, 9, 10",Wool,6-7 days,Karnataka,2023-07-24,6170440
P00004,Woolen Sweater,Bottomwear,Jeans,Van Heusen,1953,13,5.0,248,In Stock,"Blue, Black","30, 32, 34, 36",Denim,10 days,Uttar Pradesh,2020-07-19,484344
P00005,Woolen Sweater,Footwear,Casual Shoes,Tommy Hilfiger,8774,30,4.9,946,Out of Stock,"Blue, Black","6, 7, 8, 9",Denim,6-7 days,Uttar Pradesh,2022-09-05,8300204
P00006,Woolen Sweater,Dresses,Sports Shoes,Nike,4198,6,3.1,631,In Stock,"Blue, Black","7, 8, 9, 10",Denim,6-7 days,Tamil Nadu,2020-12-07,2648938
P00007,Track Pants,Bottomwear,Boots,H&M,2852,37,4.0,316,In Stock,"Blue, Black","30, 32, 34, 36",Leather,1 week,Uttar Pradesh,2024-06-28,901232
P00008,Slim Fit Jeans,Footwear,Jeans,Nike,5031,23,4.0,129,Out of Stock,"Pink, Purple","30, 32, 34, 36",Wool,6-7 days,Tamil Nadu,2022-11-29,648999
P00009,Knee-Length Skirt,Topwear,Shorts,Reebok,2385,15,5.0,23,Out of Stock,"Grey, Black","30, 32, 34, 36",Silk,1 week,Uttar Pradesh,2023-12-17,54855
P00010,Ankle Boots,Bottomwear,Western Wear,Zara,6792,16,3.4,1000,Out of Stock,"Green, Yellow","6, 7, 8, 9",Cotton,4-5 days,Delhi,2021-02-04,6792000
